transition_id,player_id,real_name,country,from_team,to_team,from_stint_status,to_stint_status,transition_date,transition_year,from_duration_days,stint_number
109,Helas,Saleh Ben Atia,France,EvozA Esport,GnG Amazigh,Active,Active,2025-05-30,2025,260,1
110,Helas,Saleh Ben Atia,France,GnG Amazigh,F9 EICAR,Active,Active,2025-06-29,2025,30,2
111,Helas,Saleh Ben Atia,France,F9 EICAR,One More Esports,Active,Active,2026-01-05,2026,132,3
112,Hiiro,Eric Brassac,France,GTZ Esports,WYLDE,Active,Active,2025-03-21,2025,173,1
113,Hiiro,Eric Brassac,France,WYLDE,LEO,Active,Active,2025-08-18,2025,106,2
114,HyP,Damien Souville,France,HypHypHyp,Ninjas in Pyjamas,Active,Active,2020-07-14,2020,80,1
115,HyP,Damien Souville,France,Ninjas in Pyjamas,NiP,Active,Inactive,2020-09-17,2020,65,2
116,HyP,Damien Souville,France,NiP,Cave Canem,Inactive,Active,2020-12-14,2020,33,3
117,HyP,Damien Souville,France,Cave Canem,Entropiq,Active,Active,2021-02-03,2021,29,4
118,HyP,Damien Souville,France,Entropiq,Bonsoir,Active,Active,2021-06-27,2021,118,5
119,HyP,Damien Souville,France,Bonsoir,Last Dance,Active,Active,2021-10-18,2021,113,6
120,HyP,Damien Souville,France,Last Dance,Mandatory,Active,Active,2022-01-28,2022,102,7
121,HyP,Damien Souville,France,Mandatory,Retired,Active,Active,2025-11-04,2025,1376,8
122,HyP,Damien Souville,France,Retired,MDR,Active,Substitute,2026-01-04,2026,0,9
123,Jakexd,Alhan Meguenni,France,Team Heretics,WYLDE,Active,Active,2022-05-05,2022,26,1
124,Jakexd,Alhan Meguenni,France,WYLDE,beGenius ESC,Active,Active,2022-10-18,2022,93,2
125,Jakexd,Alhan Meguenni,France,beGenius ESC,Akroma,Active,Active,2023-04-02,2023,146,3
126,Jamelinho213,Ryad Bentot,France,UCAM Esports,SGE,Active,Active,2026-01-09,2026,12,1
